ENST00000524808	ENST00000524808
ENST00000534827	ENST00000534827
ENST00000527620	ENST00000527620
ENST00000534584	ENST00000534584
ENST00000375204	ENST00000375204
ENST00000530422	ENST00000530422
ENST00000529488	ENST00000529488
ENST00000530283	ENST00000530283
ENST00000529841	ENST00000529841
ENST00000533924	ENST00000533924
ENST00000529934	ENST00000529934
ENST00000375206	ENST00000375206
ENST00000533938	ENST00000533938
ENST00000527789	ENST00000527789
ENST00000569326	ENST00000569326
ENST00000530045	ENST00000530045
ENST00000532296	ENST00000532296
ENST00000527970	ENST00000527970
ENST00000526996	ENST00000526996
ENST00000530972	ENST00000530972
ENST00000525716	ENST00000525716
ENST00000529325	ENST00000529325
ENST00000533218	ENST00000533218
ENST00000531319	ENST00000531319
ENST00000536780	ENST00000536780
ENST00000543321	ENST00000543321
ENST00000624106	ENST00000624106
ENST00000535076	ENST00000535076
ENST00000536131	ENST00000536131
ENST00000538559	ENST00000538559
ENST00000541092	ENST00000541092
ENST00000538430	ENST00000538430
ENST00000539078	ENST00000539078
ENST00000496975	ENST00000496975
ENST00000445861	ENST00000445861
ENST00000543611	ENST00000543611
ENST00000545526	ENST00000545526
ENST00000544710	ENST00000544710
ENST00000543817	ENST00000543817
ENST00000541888	ENST00000541888
ENST00000540906	ENST00000540906
ENST00000538407	ENST00000538407
ENST00000537762	ENST00000537762
ENST00000535817	ENST00000535817
ENST00000543969	ENST00000543969
ENST00000535914	ENST00000535914
ENST00000543317	ENST00000543317
ENST00000544657	ENST00000544657
ENST00000543604	ENST00000543604
ENST00000545800	ENST00000545800
ENST00000553105	ENST00000553105
ENST00000548801	ENST00000548801
ENST00000547824	ENST00000547824
ENST00000548738	ENST00000548738
ENST00000552061	ENST00000552061
ENST00000550290	ENST00000550290
ENST00000548575	ENST00000548575
ENST00000435621	ENST00000435621
ENST00000549180	ENST00000549180
ENST00000547009	ENST00000547009
ENST00000546968	ENST00000546968
ENST00000551597	ENST00000551597
ENST00000549251	ENST00000549251
ENST00000546686	ENST00000546686
ENST00000551299	ENST00000551299
ENST00000550506	ENST00000550506
ENST00000546821	ENST00000546821
ENST00000547465	ENST00000547465
ENST00000551565	ENST00000551565
ENST00000546784	ENST00000546784
ENST00000552856	ENST00000552856
ENST00000550319	ENST00000550319
ENST00000546829	ENST00000546829
ENST00000546936	ENST00000546936
ENST00000549460	ENST00000549460
ENST00000550231	ENST00000550231
ENST00000552778	ENST00000552778
ENST00000550947	ENST00000550947
ENST00000551941	ENST00000551941
ENST00000554829	ENST00000554829
ENST00000555379	ENST00000555379
ENST00000554225	ENST00000554225
ENST00000555299	ENST00000555299
ENST00000555947	ENST00000555947
ENST00000554532	ENST00000554532
ENST00000554431	ENST00000554431
ENST00000554749	ENST00000554749
ENST00000554542	ENST00000554542
ENST00000619201	ENST00000619201
ENST00000613686	ENST00000613686
ENST00000610699	ENST00000610699
ENST00000618067	ENST00000618067
ENST00000615131	ENST00000615131
ENST00000619032	ENST00000619032
ENST00000620163	ENST00000620163
ENST00000614819	ENST00000614819
ENST00000620908	ENST00000620908
ENST00000611708	ENST00000611708
ENST00000619492	ENST00000619492
ENST00000620106	ENST00000620106
ENST00000619159	ENST00000619159
ENST00000620937	ENST00000620937
ENST00000613646	ENST00000613646
ENST00000617759	ENST00000617759
ENST00000618290	ENST00000618290
ENST00000617183	ENST00000617183
ENST00000611182	ENST00000611182
ENST00000478845	ENST00000478845
ENST00000614539	ENST00000614539
ENST00000616998	ENST00000616998
ENST00000612009	ENST00000612009
ENST00000613495	ENST00000613495
ENST00000611384	ENST00000611384
ENST00000618976	ENST00000618976
ENST00000619092	ENST00000619092
ENST00000623471	ENST00000623471
ENST00000610448	ENST00000610448
ENST00000612833	ENST00000612833
ENST00000611627	ENST00000611627
ENST00000621449	ENST00000621449
ENST00000619971	ENST00000619971
ENST00000614815	ENST00000614815
ENST00000611726	ENST00000611726
ENST00000621974	ENST00000621974
ENST00000611214	ENST00000611214
ENST00000618736	ENST00000618736
ENST00000586923	ENST00000586923
ENST00000620327	ENST00000620327
ENST00000618749	ENST00000618749
ENST00000614033	ENST00000614033
ENST00000619166	ENST00000619166
ENST00000616244	ENST00000616244
ENST00000617433	ENST00000617433
ENST00000615941	ENST00000615941
ENST00000617588	ENST00000617588
ENST00000621477	ENST00000621477
ENST00000619068	ENST00000619068
ENST00000622881	ENST00000622881
ENST00000612365	ENST00000612365
ENST00000618739	ENST00000618739
ENST00000610840	ENST00000610840
ENST00000617473	ENST00000617473
ENST00000616999	ENST00000616999
ENST00000622160	ENST00000622160
ENST00000617901	ENST00000617901
ENST00000617013	ENST00000617013
ENST00000612008	ENST00000612008
ENST00000616499	ENST00000616499
ENST00000611056	ENST00000611056
ENST00000616838	ENST00000616838
ENST00000617734	ENST00000617734
ENST00000620306	ENST00000620306
ENST00000618799	ENST00000618799
ENST00000616682	ENST00000616682
ENST00000622440	ENST00000622440
